Time,RawSurprise,SurpriseAbs,SurprisePct,PairSide,AlignedSurprise,EventDirection,Impact,Importance,TimeOfDayMinutes,DayOfWeek,Open,High,Low,Close,Volume,Hour,RSI,ATR,MACD_Main,MACD_Signal,Bands_Upper,Bands_Lower,Stoch_Main,Stoch_Signal,ADX_Main,ADX_PlusDI,ADX_MinusDI,RSI_H4,MA_H4,RSI_M15,ATR_M15,Fam_growth,Fam_inflation,Fam_labor,Fam_monetary,Fam_other,Fam_sentiment,Fam_spending,Fam_trade,CC_EU
2018-01-02 12:00:00,0.10000000000000142,0.10000000000000142,0.0016260162601626248,1.0,1.0,1.0,1.0,2.0,720,2.0,135.495,135.556,135.324,135.34,8978.0,12.0,53.11,0.16,0.126,0.151,135.597,135.181,22.89,41.46,28.65,20.49,10.06,59.47,134.847,51.94,0.095,1,0,0,0,0,0,0,0,1
2018-01-04 12:00:00,0.6000000000000014,0.6000000000000014,0.01052631578947371,1.0,1.0,1.0,1.0,2.0,720,4.0,135.55,135.694,135.543,135.658,6740.0,12.0,69.27,0.11,0.092,0.055,135.625,134.977,78.18,64.7,59.24,32.18,3.56,73.78,135.225,65.81,0.079,1,0,0,0,0,0,0,0,1
2018-01-04 12:00:00,-0.29999999999999716,0.29999999999999716,-0.005050505050505002,1.0,-1.0,-1.0,2.0,2.0,720,4.0,135.55,135.694,135.543,135.658,6740.0,12.0,69.27,0.11,0.092,0.055,135.625,134.977,78.18,64.7,59.24,32.18,3.56,73.78,135.225,65.81,0.079,1,0,0,0,0,0,0,0,1
2018-01-05 13:00:00,0.5,0.5,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,780,5.0,136.453,136.553,136.44,136.487,5008.0,13.0,70.0,0.127,0.196,0.2,136.539,135.957,58.21,61.9,52.95,31.76,10.41,75.18,135.589,63.42,0.07,0,1,0,0,0,0,0,0,1
2018-01-05 13:00:00,1.2999999999999998,1.2999999999999998,0.5199999999999999,1.0,1.0,1.0,1.0,1.0,780,5.0,136.453,136.553,136.44,136.487,5008.0,13.0,70.0,0.127,0.196,0.2,136.539,135.957,58.21,61.9,52.95,31.76,10.41,75.18,135.589,63.42,0.07,0,1,0,0,0,0,0,0,1
2018-01-05 13:00:00,-0.09999999999999998,0.09999999999999998,-0.04999999999999999,1.0,-1.0,-1.0,2.0,2.0,780,5.0,136.453,136.553,136.44,136.487,5008.0,13.0,70.0,0.127,0.196,0.2,136.539,135.957,58.21,61.9,52.95,31.76,10.41,75.18,135.589,63.42,0.07,0,1,0,0,0,0,0,0,1
2018-01-05 13:00:00,-0.10000000000000009,0.10000000000000009,-0.040000000000000036,1.0,-1.0,-1.0,2.0,3.0,780,5.0,136.453,136.553,136.44,136.487,5008.0,13.0,70.0,0.127,0.196,0.2,136.539,135.957,58.21,61.9,52.95,31.76,10.41,75.18,135.589,63.42,0.07,0,1,0,0,0,0,0,0,1
2018-01-08 13:00:00,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,0,1,0,1
2018-01-08 13:00:00,0.11999999999999988,0.11999999999999988,0.04724409448818893,1.0,1.0,1.0,1.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,1,0,0,0,1
2018-01-08 13:00:00,-0.4,0.4,-0.2105263157894737,1.0,-1.0,-1.0,2.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,1,0,0,1
2018-01-08 13:00:00,0.3999999999999999,0.3999999999999999,0.11764705882352938,1.0,1.0,1.0,1.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,0,1,0,1
2018-01-08 13:00:00,1.5999999999999979,1.5999999999999979,0.08988764044943807,1.0,1.0,1.0,1.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,1,0,0,1
2018-01-08 13:00:00,1.5,1.5,0.1744186046511628,1.0,1.0,1.0,1.0,1.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,1,0,0,1
2018-01-08 13:00:00,1.2999999999999972,1.2999999999999972,0.01123595505617975,1.0,1.0,1.0,1.0,2.0,780,1.0,135.792,135.813,135.566,135.571,5285.0,13.0,29.45,0.15,-0.121,-0.042,136.517,135.649,16.03,15.42,48.8,4.85,35.35,40.24,135.728,35.52,0.08,0,0,0,0,0,1,0,0,1
